,softness,smoothness,thickness,flexibility
1,,,,
2,2,1,3,2
3,4,2,3,2
4,3,2,1,2
5,3,1,1,1
6,5,5,1,5
7,2,2,3,2
8,5,5,1,3
9,4,4,3,5
10,4,3,1,1
11,2,2,3,1
12,2,3,5,1
13,5,4,5,1
14,2,1,1,4
15,4,4,2,4
16,4,2,4,4
17,4,4,1,4
18,3,2,2,1
19,2,1,4,4
20,2,2,1,1
21,5,3,1,2
22,3,1,5,5
23,4,2,3,2
24,4,4,3,4
25,4,3,1,4
26,2,1,3,1
27,2,2,2,4
28,3,4,1,1
29,5,4,3,5
30,3,3,1,3
31,3,4,1,1
32,4,2,2,4
33,2,5,5,4
34,5,4,4,2
35,3,3,2,3
36,3,4,1,2
37,1,1,2,1
38,3,2,3,4
39,4,5,1,1
40,3,2,1,5
41,2,2,1,1
42,4,4,1,5
43,1,1,1,1
44,1,5,1,1
45,1,3,2,1
46,3,3,1,1
47,5,5,1,3
48,3,2,1,5
49,1,1,3,2
50,4,2,4,4
51,4,5,2,5
52,3,3,3,3
53,4,5,3,4
54,2,2,2,5
55,3,5,5,3
56,5,5,3,1
57,2,2,3,4
58,1,5,4,1
59,2,1,3,1
60,5,5,1,2
61,5,1,3,4
62,5,2,1,4
63,5,1,4,3
64,2,3,1,1
65,5,2,1,5
66,4,4,4,4
67,4,3,2,2
68,4,2,1,2
69,3,1,4,1
70,2,2,1,1
71,1,2,2,2
72,4,2,2,4
73,5,2,4,2
74,5,5,4,4
75,2,4,1,1
76,5,4,5,2
77,5,5,1,1
78,5,2,5,4
79,2,3,1,1
80,4,4,3,4
81,5,3,3,3
82,,,,
83,5,3,3,3
84,4,4,4,1
85,3,2,2,3
86,3,5,2,1
87,5,1,1,4
88,,,,
89,3,3,2,2
90,5,3,3,3
