,softness,smoothness,thickness,flexibility
1,,,,
2,2,3,1,1
3,5,5,3,5
4,3,2,1,2
5,1,1,2,1
6,3,3,1,5
7,2,3,3,3
8,4,3,3,3
9,3,4,3,4
10,4,1,1,1
11,3,3,2,2
12,3,3,4,1
13,,,,
14,4,3,2,2
15,3,4,1,4
16,3,4,1,5
17,3,2,3,4
18,4,2,4,1
19,3,1,5,1
20,2,2,2,2
21,4,5,1,1
22,4,2,5,5
23,3,5,2,1
24,3,5,4,4
25,3,4,1,3
26,2,3,3,4
27,2,2,2,2
28,1,3,1,1
29,4,5,2,5
30,4,2,1,2
31,2,2,1,1
32,2,1,1,2
33,4,4,4,5
34,5,5,4,5
35,5,3,1,3
36,2,2,1,3
37,1,1,2,1
38,5,2,2,5
39,3,4,1,1
40,4,2,1,5
41,4,4,2,1
42,5,3,1,5
43,2,2,1,1
44,2,5,1,1
45,2,1,1,3
46,3,3,2,1
47,4,3,1,1
48,4,3,2,5
49,2,1,4,1
50,1,2,3,4
51,4,4,2,4
52,4,3,1,2
53,5,5,5,5
54,3,4,3,3
55,4,5,4,1
56,4,4,5,3
57,2,3,3,4
58,4,5,5,1
59,2,4,5,2
60,5,5,4,3
61,4,1,3,2
62,5,5,3,5
63,5,2,5,5
64,2,2,3,1
65,4,4,1,5
66,5,5,1,5
67,2,1,1,3
68,5,2,1,1
69,1,2,4,1
70,2,2,1,2
71,4,2,2,3
72,2,1,1,3
73,5,5,4,2
74,4,3,3,4
75,2,4,2,1
76,1,1,4,2
77,2,3,1,1
78,2,2,5,5
79,3,5,1,1
80,2,5,2,1
81,3,3,3,2
82,,,,
83,3,3,3,4
84,3,4,4,2
85,2,3,3,1
86,3,2,4,1
87,2,2,3,2
88,,,,
89,2,2,2,1
90,4,2,2,4
